,Kurzbeschreibung,Beschreibung,Einheit
DD,Windrichtung,"Windrichtung, vektorielles Mittel über 10 Minuten",°
DDX,Windrichtung zum Böenspitzenwert,Windrichtung der maximalen Windgeschwindigkeit (zum Böspitzenwert),°
DDX_FLAG,Qualitätsflag der Windrichtung der maximalen Windgeschwindigkeit,"Qualitätsflag für die Windrichtung der maximalen Windgeschwindigkeit - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
DD_FLAG,Qualitätsflag der Windrichtung,"Qualitätsflag für die Windrichtung - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
FF,vektorielle Windgeschwindigkeit,"Windgeschwindigkeit, vektorielles Mittel über 10 Minuten",m/s
FFAM,arithmetische Windgeschwindigkeit,"arithmetische Windgeschwindigkeit, arithmetisches Mittel über 10 Minuten",m/s
FFAM_FLAG,Qualitätsflag der arithmetischen Windgeschwindigkeit,"Qualitätsflag für die arithmetischen Windgeschwindigkeit - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
FFX,maximale Windgeschwindigkeit,"maximale Windgeschwindigkeit, Böspitzenwert",m/s
FFX_FLAG,Qualitätsflag der maximalen Windgeschwindigkeit,"Qualitätsflag für die maximale Windgeschwindigkeit - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
FF_FLAG,Qualitätsflag der Windgeschwindigkeit,"Qualitätsflag für die Windgeschwindigkeit - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
GSX,Globalstrahlung,"Globalstrahlung, arithmetisches Mittel über 10 Minuten",W/m²
GSX_FLAG,Qualitätsflag der Globalstrahlung,"Qualitätsflag für die Globalstrahlung - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
HSR,Himmelsstrahlung/Diffusstrahlung in mV,"Diffusstrahlung [1/10 mV], arithmetisches Mittel über 10 Minuten, nicht geprüft",mV
HSR_FLAG,Qualitätsflag der Diffusstrahlung in mV,"Qualitätsflag für die Diffusstrahlung in mV - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
HSX,Himmelsstrahlung/Diffusstrahlung in W/m²,"Diffusstrahlung [W/m²], arithmetisches Mittel über 10 Minuten, nicht geprüft",W/m²
