SYNNR;NAME;BUNDESLAND;LÄNGE;BREITE;STATIONSHÖHE;BEGINNDATUM;ORDNUNG;LÄNGE DEZI;BREITE DEZI
8989072;ANDAU;BGL;170200;474621;118;19950701;TAWES;17,03333282;47,77249908
11395;ANDAU NEU;BGL;170208;474612;117;20210616;TAWES/VAMES;17,0355554;47,77
11193;BAD TATZMANNSDORF ;BGL;161330;472017;347;20040917;Ö3;16,22499847;47,33805466
11197;BERNSTEIN;BGL;161541;472430;631;20070701;TAWES;16,26138878;47,40833282
11394;BRUCKNEUDORF;BGL;165042;480046;166;20071127;TAWES;16,84499931;48,01277924
11190;EISENSTADT-NORDOST;BGL;163218;475115;184;19890101;TAWES/VAMES;16,53833389;47,85416794
11198;GÜSSING;BGL;161919;470345;215;20080701;TAWES/VAMES;16,32194328;47,0625
11192;KLEINZICKEN;BGL;162008;471227;265;19930101;TAWES;16,33555603;47,20750046
8989042;KROISEGG;BGL;160232;472243;444;20160607;TAWES;16,04222107;47,3786087
11393;LUTZMANNSBURG;BGL;163844;472755;201;20000629;TAWES/VAMES;16,6455555;47,46527863
11189;MATTERSBURG;BGL;162321;474442;284;20071127;TAWES;16,38916588;47,74499893
11258;NEUDORF/LANDSEE;BGL;162253;473346;429;20151101;TAWES;16,38138771;47,56277847
11194;NEUSIEDL;BGL;165030;475703;148;20040804;TAWES;16,84166667;47,95083333
11072;NEUSIEDL/SEE ;BGL;164944;475657;117;20170120;TAWES;16,82888794;47,94916534
11084;PODERSDORF;BGL;165004;475158;116;20140722;TAWES;16,83444405;47,86611176
11396;RECHNITZ  ;BGL;162715;471805;308;20061201;Ö3;16,45416641;47,30138779
11392;WÖRTERBERG;BGL;160548;471334;404;20070701;TAWES;16,09666634;47,22610855
11275;ARRIACH;KNT;135109;464340;890;19900601;TAWES;13,85249996;46,72777557
11218;BAD BLEIBERG;KNT;134104;463731;909;20071001;TAWES;13,68444443;46,62527847
11234;BAD EISENKAPPEL;KNT;143536;462926;623;19821118;TAWES;14,59333324;46,49055481
11270;DELLACH;KNT;130458;464431;628;19830501;TAWES;13,08277702;46,74194336
11206;DÖLLACH;KNT;125409;465729;1071;20040526;TAWES;12,90250015;46,9580574
11232;FEISTRITZ ob BLEIBURG;KNT;144600;463332;532;20070901;TAWES/VAMES;14,76666641;46,55888748
11227;FELDKIRCHEN;KNT;140549;464319;546;19950701;TAWES;14,09694386;46,7219429
11235;FERLACH;KNT;141851;463152;459;20070801;TAWES;14,31416702;46,53110886
11222;FLATTNITZ;KNT;140210;465627;1437;20070701;TAWES;14,03611088;46,94083405
11226;FRESACH;KNT;134107;464255;683;20080911;TAWES;13,68527699;46,71527863
11228;FRIESACH;KNT;142421;465731;640;20070701;TAWES;14,40583324;46,95861053
11273;GMÜND;KNT;133203;465410;738;20080723;TAWES;13,53416634;46,90277863
11259;HERMAGOR;KNT;132932;463635;562;20080723;TAWES/VAMES;13,49222183;46,60972214
11216;KANZELHÖHE;KNT;135407;464038;1520;20020101;TAWES/VAMES;13,90194416;46,67722321
11349;KATSCHBERG;KNT;133653;470338;1635;19981029;TAWES;13,61472225;47,0605545
11231;KLAGENFURT-FLUGHAFEN;KNT;141906;463854;450;19960901;TAWES;14,31833267;46,6483345
8989076;KLAGENFURT/HTL1;KNT;141900;463710;441;20210421;TAWES;14,3166666;46,6194445
11086;KORNAT;KNT;125320;464106;990;20170522;TAWES;12,88888836;46,68500137
8989078;KÖLNBREINSPERRE;KNT;132046;470459;1916;20211123;TAWES;13,3461112;47,0830555
11255;KÖTSCHACH-MAUTHEN;KNT;125954;464035;705;19870301;TAWES;12,9983333;46,6763889
11217;LOIBL/TUNNEL;KNT;141457;462638;1097;20070801;TAWES/VAMES;14,24916649;46,44388962
11260;MALLNITZ;KNT;131000;465931;1197;19870210;TAWES;13,16666603;46,99194336
11215;MILLSTATT;KNT;133422;464829;721;19820601;TAWES;13,57277679;46,80805588
11262;OBERVELLACH;KNT;131140;465607;688;20140709;TAWES;13,1944437;46,93527603
11278;PÖRTSCHACH;KNT;140955;463751;450;19821001;TAWES;14,16527748;46,63083267
11214;PREITENEGG;KNT;145454;465617;1034;19930601;TAWES/VAMES;14,91499996;46,93805695
11272;SPITTAL/DRAU;KNT;132914;464726;542;19930608;TAWES/VAMES;13,48722172;46,79055405
11229;ST.ANDRÄ/LAVANTTAL;KNT;144941;464551;403;19930311;TAWES/VAMES;14,82805443;46,76416779
11237;ST.VEIT/GLAN;KNT;142308;464421;463;20070803;TAWES/VAMES;14,38555527;46,73916626
11265;VILLACHER ALPE;KNT;134022;463613;2117;19940801;TAWES;13,67277718;46,60361099
11213;VILLACH-STADT;KNT;135226;463705;493;19931201;TAWES;13,87388802;46,61805344
11257;VÖLKERMARKT-GOLDBRUNNHOF;KNT;143821;464015;466;20151020;TAWES;14,63916588;46,67083359
11263;WEISSENSEE-GATSCHACH;KNT;131709;464307;949;19821001;TAWES;13,28583336;46,71860886
11225;WEITENSFELD;KNT;141127;465057;704;20070701;TAWES/VAMES;14,19083309;46,84916687
11019;ALLENTSTEIG;NOE;152201;484127;599;19920801;TAWES;15,36694336;48,69083405
11018;AMSTETTEN;NOE;145342;480632;266;20000701;TAWES/VAMES;14,8949995;48,10889053
11188;ASPANG;NOE;160605;473430;454;20071127;TAWES/VAMES;16,10138893;47,57500076
11046;BAD DEUTSCH-ALTENBURG ;NOE;165424;480811;169;20100511;Ö3;16,9066658;48,13638687
11367;BÄRNKOPF;NOE;150010;482328;969;20031101;TAWES;15,00277805;48,39110947
11079;BERNDORF;NOE;160604;475621;337;20070701;TAWES;16,10111046;47,93916702
11077;BRUNN AM GEBIRGE;NOE;161612;480625;291;20080925;TAWES;16,26999855;48,10694504
11066;BUCHBERG;NOE;155642;481249;460;20091101;TAWES;15,94499969;48,2136116
11048;GÄNSERNDORF;NOE;164249;482016;163;20040101;TAWES;16,7136116;48,33777618
11064;GARS/KAMP;NOE;154200;483531;273;20160520;TAWES;15,69999981;48,59194565
11037;GROSS-ENZERSDORF;NOE;163333;481159;154;19830701;TAWES;16,55916595;48,19972229
11082;GUMPOLDSKIRCHEN;NOE;161651;480209;212;20180328;TAWES;16,28083229;48,03583145
11378;GUTENSTEIN/MARIAHILFBERG;NOE;155234;475217;709;19960701;TAWES;15,87611008;47,87138748
11384;HIRSCHENKOGEL;NOE;155000;473724;1318;19940801;TAWES;15,83333302;47,62333298
11385;HOHE WAND/HOCHKOGELHAUS;NOE;160206;474920;937;19930501;TAWES;16,03499985;47,82221985
11333;HOHENAU;NOE;165416;483659;154;20070401;TAWES;16,90444374;48,61639023
11297;HORN - WASSERWERK;NOE;153838;484030;308;20190415;TAWES;15,64388888;48,675
11024;JAUERLING;NOE;152021;482004;955;19940101;TAWES/VAMES;15,33916664;48,33444595
11391;KLAUSEN-LEOPOLDSDORF;NOE;160006;480519;389;20071201;TAWES;16,00166702;48,0886116
11070;KREMS;NOE;153717;482506;203;19960201;TAWES/VAMES;15,62138844;48,41833115
11386;KRUMBACH  ;NOE;161112;473141;545;20061130;Ö3;16,18666649;47,52805328
11335;LAA/TH.KLÄRANLAGE;NOE;162323;484353;184;20061218;TAWES/VAMES;16,38972282;48,73138809
11030;LANGENLEBARN;NOE;160705;481926;175;19920801;TAWES;16,11805534;48,32388687
11075;LANGENLOIS;NOE;154150;482821;207;19891101;TAWES;15,69722176;48,47249985
11083;LEISER BERGE;NOE;162218;483332;457;19980401;TAWES;16,37166595;48,55888748
11078;LILIENFELD-TARSCHBERG;NOE;153515;480141;696;19920801;TAWES;15,58749962;48,02805328
11021;LITSCHAU;NOE;150218;485717;558;19831001;TAWES/VAMES;15,03833294;48,95472336
11170;LUNZ AM SEE;NOE;150403;475116;612;19940901;TAWES;15,06749916;47,8544426
11054;MELK;NOE;151953;481235;307;20080625;TAWES;15,33138847;48,20972061
11332;MISTELBACH;NOE;163634;483415;191;20040701;TAWES;16,60944366;48,5708313
11185;MÖNICHKIRCHEN;NOE;160200;473040;991;19830601;TAWES;16,03333282;47,51111221
11376;OBERNDORF/MELK;NOE;151250;480345;295;20070701;TAWES;15,21388912;48,0625
11381;POTTSCHACH;NOE;160029;474203;416;20070801;TAWES;16,00805473;47,70083237
11032;POYSDORF-OST;NOE;163815;484009;198;19911201;TAWES;16,63749886;48,66916656
11382;PUCHBERG/SCHNEEBERG;NOE;155425;474725;583;19980401;TAWES;15,90694427;47,79027557
11047;RAABS/THAYA;NOE;153007;485053;459;20080625;TAWES;15,50194454;48,84805679
11180;RAX/SEILBAHNBERGSTATION;NOE;154643;474303;1547;19950501;TAWES;15,77861023;47,71749878
11380;REICHENAU/RAX;NOE;155013;474159;488;19820901;TAWES/VAMES;15,83694458;47,69972229
11022;RETZ/WINDMÜHLE;NOE;155630;484540;320;19940101;TAWES;15,9416666;48,76111221
11334;SCHÖNGRABERN;NOE;160342;483612;253;20070401;TAWES;16,06166649;48,60333252
11036;SCHWECHAT;NOE;163453;480703;183;19400801;ACG;16,58138847;48,11750031
11387;SEIBERSDORF;NOE;163018;475835;185;19820601;TAWES;16,50499916;47,97638702
11383;SEMMERING;NOE;154942;473800;988;19981022;TAWES;15,8283329;47,6333313
11389;ST.PÖLTEN/LANDHAUS;NOE;153752;481159;274;20030701;TAWES/VAMES;15,63111019;48,19972229
11020;STIFT ZWETTL;NOE;151213;483704;502;19940801;TAWES;15,20361137;48,61777878
11027;STOCKERAU;NOE;161133;482349;203;19970601;TAWES;16,19249916;48,39694595
11374;WACHTBERG BEI STEYR;NOE;142740;480251;384;20080601;TAWES;14,46111107;48,04750061
11071;WAIDHOFEN/YBBS;NOE;144835;475644;384;20170330;TAWES;14,80972195;47,94555664
11025;WEITRA;NOE;145355;484208;572;20030801;TAWES;14,89861107;48,70222092
11379;WIESELBURG;NOE;150848;480738;259;20070701;TAWES;15,14666653;48,12722015
11045;WOLKERSDORF;NOE;163027;482249;185;20080723;TAWES;16,50749969;48,38027573
11182;WR.NEUSTADT/FLUGPLATZ;NOE;161353;474956;275;19920901;TAWES;16,23138809;47,83222198
11085;ZWERNDORF;NOE;164953;482017;144;19961217;TAWES;16,83138847;48,33805466
11254;ALTMÜNSTER;OOE;134624;475245;438;20141124;TAWES;13,7733326;47,87916565
11062;ASPACH;OOE;131800;481059;427;20090708;TAWES;13,30000019;48,18305588
11256;BAD GOISERN;OOE;133841;473719;538;20141118;TAWES;13,64472198;47,62194443
11361;BAD ISCHL;OOE;133850;474222;507;20070701;TAWES;13,64722157;47,70611191
11057;BAD ZELL;OOE;143949;482118;554;20081110;TAWES;14,66361141;48,35499954
11051;BRAUNAU/RANSHOFEN;OOE;130142;481327;382;19940601;TAWES;13,02833271;48,22416687
11267;DACHSTEIN/HUNERKOGEL;OOE;133735;472804;2700;20170529;TAWES;13,62638855;47,46777725
11268;DACHSTEIN/SCHLADMINGER GLETSCHER;OOE;133757;472828;2520;20171113;TAWES;13,63249969;47,47444534
11002;ENNS;OOE;142701;481145;317;20080701;TAWES/VAMES;14,45027733;48,1958313
11155;FEUERKOGEL;OOE;134304;474900;1618;19891001;TAWES;13,71777725;47,81666565
11068;FREISTADT;OOE;143023;482941;539;20140331;TAWES;14,50638866;48,49472046
11067;GALLSPACH ;OOE;134930;481215;426;20120412;Ö3;13,82499886;48,20416641
11010;HÖRSCHING;OOE;141117;481407;298;19420515;ACG;14,18805504;48,23527908
11007;KOLLERSCHLAG;OOE;135021;483610;714;20080601;TAWES/VAMES;13,83916664;48,60277939
11012;KREMSMÜNSTER ;OOE;140752;480318;382;19880101;TAWES;14,13111019;48,05500031
11060;LINZ-STADT;OOE;141707;481747;262;19920701;TAWES;14,28527737;48,29638672
11049;MATTIGHOFEN;OOE;130904;480550;460;20080701;TAWES/VAMES;13,15111065;48,09722137
11347;MICHELDORF;OOE;140804;475259;459;20080731;TAWES/VAMES;14,13444424;47,88305664
11153;MONDSEE;OOE;132050;475103;481;20090101;TAWES;13,34722233;47,85083389
11061;OSTERMIETHING;OOE;124954;480311;412;20080801;TAWES;12,83166599;48,05305481
11050;REICHENAU/MÜHLKREIS;OOE;142044;482733;689;20080801;TAWES/VAMES;14,34555531;48,45916748
11004;REICHERSBERG;OOE;132234;481952;351;20080625;TAWES;13,37611008;48,33111191
11053;RIED IM INNKREIS;OOE;132830;481302;427;19970701;TAWES;13,47499943;48,21722031
